grab;tot;erde;stein;loch;sarg
grillen;bbq;draußen;sommer;essen;fleisch
großzügig;Geschenk;verzeihen;entschuldigen;;
grüßen;hallo;treffen;wilkommen;winken;sehen
hai;ozean;blut;zähne;weiß;flosse
Heizung;Wärme;Haus;aufdrehen;Ofen;Gas
helium;ballon;lustig;sprechen;tank;fliegen
Hello;its me;Adele;Moin;Servus;Begrüßung
Herz;Körper;Organ;Liebe;klopfen;Blut
Hochwasser;Meeresspiegel;Überschwemmung;Überflutung;schmelzen;Regen
hochzeit;ring;heiraten;feier;freund;freundin
hose;bein;tragen;klamotten;jeans;stoff
illegal;legal;drogen;verbot;gesetz;strafe
investition;zurück;interesse;geld;sparen;viel
Jucken;Haut;Kratzen;Reiben;;
Kaffee;Schwarz;Milch;Heiß;trinken;wach
karrotten;gemüse;orange;grün;hase;schälen
kartoffel;erde;gemüse;essen;gelb;kalorien
käse;geschmack;essen;schweiz;milch;cheddar
Kehlkopf;Schlucken;Hals;Sprechen;;
Kernkraftwerk;Energie;Umwelt;Strom;Anlage;Atom
kerze;leuchten;feuer;wachs;docht;feuerzeug
kette;schmuck;fahrrad;silber;gold;glitzer
kind;eltern;klein;schule;kindergarten;wachsen
kirche;kreuz;religion;gott;messe;gebäude
kissen;schlafen;decke;bett;weich;kopf
Klima;Wetter;Temperatur;Wandel;Sonne;Erwärmung
klingel;haus;tür;ton;ankündigen;zeichen
kloster;kirche;nonnen;mönch;kreuz;
kochen;essen;gericht;warm;herd;topf
kochtopf;kochen;essen;küche;suppe;teller
Kohle;Heizen;Verbrennen;Kraftwerk;schwarz;Geld
konfetti;bunt;klein;rund;geburtstag;feier
Konsum;Verbrauch;Supermarkt;Produkte;Ressourcen;
korrekt;falsch;antwort;richtig;frage;exakt
Krieg;bundeswehr;Tote;Verwundete;Soldaten;
labor;test;arbeit;wissenschaft;schutzkleidung;gefahr
lachen;lustig;witz;gesund;gut;freunde
lampe;licht;schirm;sehen;dunkel;an
Lauch;Gemüse;Schwach;grün;Lebensmittel;gesund
laufen;rennen;bewegen;fuß;langsam;schnell
lautsprecher;ton;musik;hören;anlage;geräusch
Lebensraum;Tiere;Pflanzen;Regenwald;Meer;
lexikon;wissen;lernen;suchen;wort;beschreibung
Licht;hell;Sonne;Lampe;Schein;Quelle
Lichtschalter;elektrisch;Lampe;Wand;Strom;Kabel
löffel;essen;müsli;schüssel;gabel;messer
luftpumpe;reifen;platt;ball;fahrrad;luftmatratze
lupe;entdecken;vergrößern;glas;rund;tiere
mailbox;anruf;verpassen;telefon;nachricht;piepton
mais;labyrint;grillen;essen;gelb;feld
malen;farbe;kreativ;kunst;stift;pinsel
manager;chef;arbeit;job;gespräch;organisieren
maske;tragen;gesicht;anonym;anders;verkleiden
Massentierhaltung;Kuh;Soja;Tierhaltung;Billigfleisch;
meditation;entspannung;schlafen;ruhig;atmen;headspace
Missverständnis;Irrtum;falsch;Kommunikation;;
modern;neu;trend;klamotten;schick;in
mozart;klavier;österreich;salzburg;musik;klassik
musik;dj;band;konzert;ton;noten
Nachhaltigkeit;Zukunft;sparsam;Gleichgewicht;Nächste;Generation
nähen;faden;stoff;klamotten;kleidung;nadel
Nähmaschine;Nadel;nähen;automatisch;elektronisch;
niesen;nase;krank;pfeffer;husten;taschentuch
ninja;kampf;karate;schildkröte;schwarzer gürtel;mutant
note;musik;schule;zeugnis;spielen;instrument
oberflächlich;aussehen;Äußeres;tief;;
obst;gemüse;vitamine;apfel;orange;banane
onkel;bruder;vater;mutter;zwillinge;eltern
orange;rund;obst;vitamine;saft;pellen
ostern;hase;ei;suchen;feuer;frühling
Ozon;Schicht;Loch;FCKW;Atmosphäre;groß
paar;heiraten;zusammen;zwei;date;beziehung
palme;kokosnuss;frucht;baum;blätter;hawaii
parfum;riechen;blumen;spray;duft;schön
parka;regen;kalt;schweiß;wasser;schützen
parkplatz;auto;stehen;einkaufen;gebäude;makierung
pflanze;grün;wachsen;topf;gießen;blühen
pizza;backen;essen;belegen;käse;rund
playstation;play;controller;x-box;sony;video game
polizei;ticket;regeln;gesetz;helfen;pistole
poster;band;Fan;wand;zimmer;bild
postkarte;urlaub;reise;post;schicken;briefkasten
professor;lehrer;uni;schule;klasse;lernen
punktestand;wettkampf;punkt;bekommen;sport;spiel
rau;schleifpapier;haut;creme;kaputt;glatt
räuber;dieb;stehlen;klauen;bank;diebesgut
Reaktor;Kastor;Ohu;Greenpeace;Kernfusion;Super-GAU
Recycling;Müll;Grüner Punkt;Gelber Sack;Papier;Schrott
Regenwald;Baum;Rodung;Tropen;Amazonas;Sauerstoff
reich;geld;sorglos;vermögen;wohlhabend;arm
Ressourcen;natürlich;Vorrat;Bodenschätze;Produktion;global
ringfinger;finger;hochzeit;hand;tragen;schmuck
Romantik;Kerze;Liebe;Film;Sonnenuntergang;
romantisch;liebe;paar;verliebt;date;herz
rucksack;tragen;gepäck;schulter;tasche;groß
saft;obst;trinken;frucht;pressen;vitamine
salz;pfeffer;gewürz;weiß;grob;fein
sandmann;kika;kinder;schlafen;traum;sendung
Satellit;Umkreisen;Erde;Weltraum;empfangen;
sauber;unordentlich;müll;dreckig;wischen;putzen
Schaum;schlagen;Bad;Wasser;Blasen;Milch
schläger;tennis;schlagen;netz;ball;federball
schlange;tier;lang;zunge;gift;einkaufen
schlitten;schnee;winter;fahren;rodeln;kalt
schnee;winter;weiß;weihnachten;glatt;schneemann
schokolade;süß;lecker;essen;dick;zucker
schornstein;ofen;haus;rauch;schornsteinfeger;dach
schüchtern;ansprechen;trauen;Angst;auslachen;
schuhe;füße;tragen;laufen;stiefel;sandalen
schüler;lehrer;schule;klasse;kind;lernen
schüssel;essen;müsli;rund;geschirr;löffel
schwanger;kind;baby;9 Monate;bauch;frau
schwester;bruder;vater;mutter;zwillinge;eltern
schwimmen;sport;see;sommer;halle;baden
sex;verkehr;schlafen;partner;frau;mann
shirt;kleidung;tragen;klamotten;top;hemd
Siegel;Fairer Handel;Tranzparenz;Bio;soziale Gerechtigkeit;ökologisch
Softgetränke;Cola;Fanta;Sprite;mischen;trinken
Solarenergie;Sonne;Dach;Wolken;Strom;
Soldat;grün;Gewehr;Krieg;Uniform;
Sommer;Sonne;warm;Strand;Baden;heiß
Sonne;Mond;Himmel;Licht;scheinen;Brille
sportschuhe;halle;laufen;training;füße;tragen
Sprit;Benzin;Diesel;Tanken;Auto;sparen
staubsauger;schmutz;haushalt;putzen;sauber machen;kabel
Steckdose;anschließen;elektrisch;Strom;Licht;Kabel
stern;leuchten;himmel;nacht;weltall;blinken
Stier;Hörner;Kampf;Kuh;sternzeichen;
stift;schreiben;kugelschreiber;bleistift;filzstift;buntstift
streit;diskussion;wut;paar;ärger;hass
stundenplan;event;datum;tag;woche;monat
superman;s;held;film;umhang;fliegen
tablette;krank;medizin;apotheke;arzt;rezept
Tankstelle;Benzin;Diesel;Auto;Zapfsäule;Kraftstoff
tastatur;schreiben;computer;maus;buchstaben;laptop
taufe;wasser;becken;Kinder;name;
teich;fisch;fluss;wasser;frosch;klein
Telefon;Hörer;Wählscheibe;Anruf;sprechen;
Telekom;Telefon;Handy;Wlan;Netzwerk;Roaming
Temperatur;Anstieg;Grad;Celsius;warm;Thermometer
tennis;sport;schläger;feld;Netz;weiß
thermometer;temperatur;heiß;kalt;fiber;messen
tisch;bein;holz;essen;küche;wohnzimmer
toast;brot;frühstück;essen;weizen;festival
Toilette;Spülen;Papier;WC;klo;
Traummann;schön;stark;Liebe;Date;
treu;ein;betrügen;küssen;Partner;Partnerin
trockner;wäsche;luft;warm;gerät;waschmaschine
Umweltschutz;Greenpeace;Natur;Müll;Tiere;sauber
Upcycling;neu;alt;hip;Müll;
vampir;zähne;blut;tod;nacht;fliegen
vase;blumen;wasser;glas;stehen;deko
Vertrauen;Glauben;Versprechen;Pause;familie;freunde
Vielfalt;Arten;Pflanzen;Tiere;verschiedene;
voll;glas;leer;halb;hunger;satt
volleyball;netz;spiel;sport;strand;ball
vulkan;lava;ausbruch;berg;hawaii;heiß
vw;auto;deutsch;passat;abgas;benzin
waffeln;sirup;butter;teig;pancake;puderzucker
wald;bäume;tiere;grün;gras;wiese
wasser;trinken;meer;flüssig;wichtig;durst
wasserfall;schön;natur;klippe;fluss;laut
wassermelone;obst;frucht;grün;rosa;kerne
wasserwaage;werkzeug;gerade;kontrolle;lang;flüssigkeit
Watt;Einheit;Meer;Ebbe;Strom;Leistung
wetter;regen;sonne;draußen;himmel;wolken
wimpern;auge;schwarz;schminke;lang;mascara
Windrad;Strom;Küste;Erneuerbar;Flügel;drehen
wohnung;haus;leben;raum;schlüssel;umzug
workout;six-pack;4x4;bauch;beine;po
würfel;sechs;punkte;kniffel;spiel;werfen
wurm;regen;klein;lang;tier;rosa
zähneputzen;zahnpaste;zahnbürste;sauber;morgens;abends
zeit;uhr;stop;mitternacht;spät;früh
zeitschrift;lesen;information;bilder;klatschpresse;artikel
ziel;wettkampf;start;ende;laufen;rennen
zirkus;clown;zelt;tiere;trapez;wandern
zug;schienen;fahren;sitzen;bahnhof;deutsche bahn
zukunft;morgen;jahr;woche;film;leben
zunge;körper;geschmack;essen;sinn;rot
Einkaufen;Laden;Geld;Münzen;zahlen;Lebensmittel
